ss_samplekey,ss_fieldkey,ss_sampledate,ss_sand,ss_silt,ss_clay,ss_ph,ss_nitrogen_ppm,ss_phosphorus_ppm,ss_potassium_ppm,ss_organicmatter_pct,ss_cec,ss_lead_ppm,ss_mercury_ppm,ss_nickel_ppm,ss_copper_ppm,ss_chromium_ppm,ss_cadmium_ppm,ss_arsenic_ppm,ss_zinc_ppm,ss_comment
21,1,2019-09-20,60.00,14.95,25.05,6.40,30.50,14.20,32.25,4.00,16.85,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Pre-autumn harvest soil sample."
22,1,2019-10-25,59.95,15.00,25.05,6.41,30.60,14.25,32.30,4.05,16.90,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Mid-autumn soil sample post early harvest."
23,1,2019-11-30,60.05,14.90,25.05,6.42,30.70,14.30,32.35,4.10,16.95,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Late autumn soil sample post main harvest."
24,1,2019-12-20,60.10,15.05,24.85,6.43,30.80,14.40,32.50,4.15,17.00,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Early winter soil sample post autumn harvest."
25,1,2020-01-25,60.05,15.00,24.95,6.44,30.90,14.50,32.55,4.20,17.05,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Mid-winter soil sample, fertilization applied."
26,1,2020-02-28,60.00,14.95,25.05,6.45,31.00,14.60,32.60,4.25,17.10,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Late winter soil sample prior to spring planting."
27,1,2020-03-15,60.05,14.95,25.00,6.46,31.10,14.70,32.75,4.30,17.15,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Spring soil sample prior to almond bloom and new crop planting."
28,1,2020-06-10,60.10,14.90,25.00,6.47,31.30,14.90,33.00,4.35,17.20,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Mid-summer soil sample post-spring harvest and fertilization."
29,1,2020-09-15,60.00,14.85,25.15,6.48,31.20,14.80,32.90,4.40,17.25,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Autumn soil sample pre-harvest."
30,1,2020-11-05,60.10,14.90,25.00,6.49,31.40,15.00,33.10,4.45,17.30,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Autumn soil sample post-harvest."
31,1,2020-12-20,60.05,14.95,25.05,6.50,31.50,15.10,33.25,4.50,17.35,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Early winter soil sample post autumn harvest 2020."
32,1,2021-01-25,60.10,14.90,25.00,6.51,31.60,15.20,33.40,4.55,17.40,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Mid-winter soil sample, fertilization applied."
33,1,2021-02-28,60.00,14.85,25.10,6.52,31.70,15.30,33.50,4.60,17.45,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Late winter soil sample prior to Spring 2021 planting."
34,1,2021-03-10,59.95,15.10,24.95,6.38,29.40,13.70,32.00,3.75,16.70,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Spring 2021 pre-bloom soil sample."
35,1,2021-06-15,60.10,15.05,24.85,6.39,29.60,13.80,32.10,3.80,16.75,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Mid-summer soil sample post-spring harvest."
36,1,2021-09-10,59.95,15.00,25.05,6.38,29.50,13.65,32.00,3.85,16.80,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Autumn soil sample pre-harvest."
37,1,2021-12-05,60.00,15.05,25.00,6.37,29.70,13.75,32.15,3.90,16.85,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Winter 2021-22 soil sample post-harvest."
38,1,2022-03-10,59.95,15.10,24.95,6.39,30.30,14.20,32.40,3.90,16.95,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Spring 2022 pre-bloom soil sample"
39,1,2022-06-15,60.05,15.05,24.90,6.40,30.70,14.50,32.70,3.95,17.00,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Mid-summer soil sample post-spring harvest"
40,1,2022-09-10,60.00,15.00,25.05,6.39,31.00,14.80,32.95,4.00,17.05,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Autumn 2022 pre-harvest soil sample"
41,1,2022-12-05,60.05,15.05,25.00,6.38,31.30,15.00,33.15,4.05,17.10,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Winter 2022-23 soil sample post-harvest"
42,1,2023-03-10,59.95,15.10,24.95,6.40,30.50,14.40,32.60,3.95,17.05,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Spring 2023 pre-bloom soil sample"
43,1,2023-06-15,60.05,15.05,24.90,6.41,30.90,14.70,32.90,4.00,17.10,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Mid-summer soil sample post-spring harvest"
44,1,2023-09-10,60.00,15.00,25.05,6.40,31.20,14.90,33.15,4.05,17.15,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Autumn 2023 pre-harvest soil sample"
45,1,2023-12-05,60.05,15.05,25.00,6.39,31.50,15.10,33.35,4.10,17.20,0.001,0.000,0.002,0.001,0.001,0.000,0.005,0.003,"Winter 2023-24 soil sample post-harvest"
46,2,2016-03-10,39.80,41.50,18.20,6.75,22.14,12.35,28.70,3.85,15.12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Early spring sample after winter cover"
47,2,2016-06-05,40.10,40.80,19.10,6.80,21.80,12.10,28.90,3.90,15.25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Pre-summer check, slight rainfall effect"
48,2,2016-09-15,39.50,41.20,19.40,6.70,22.50,12.50,29.10,3.95,15.10,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Late summer sample, post-harvest observation"
49,2,2017-03-12,40.00,40.50,19.50,6.78,22.10,12.20,28.80,3.88,15.20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Spring 2017, pre-planting assessment"
50,2,2017-06-08,40.30,40.00,19.50,6.80,21.90,12.05,28.95,3.90,15.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Early summer sampling"
51,2,2017-09-18,39.70,41.00,19.30,6.75,22.30,12.40,29.05,3.92,15.22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Post-summer harvest observation"
52,2,2018-03-15,40.10,40.20,19.70,6.80,22.05,12.15,28.90,3.90,15.25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Spring 2018, pre-planting"
53,2,2018-06-10,39.90,40.50,19.60,6.82,21.95,12.25,29.00,3.93,15.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Summer early soil check"
54,2,2018-09-20,39.60,41.10,19.30,6.77,22.25,12.45,29.10,3.95,15.20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Late summer harvest period"
55,2,2019-03-10,40.00,40.40,19.60,6.79,22.00,12.30,28.85,3.91,15.15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Spring 2019 soil sample"
56,2,2019-06-05,40.20,40.10,19.70,6.81,22.10,12.35,29.00,3.92,15.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Early summer check"
57,2,2019-09-15,39.80,41.30,18.90,6.76,22.40,12.50,29.10,3.95,15.22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Post-harvest late summer"
58,2,2020-03-12,40.05,40.25,19.70,6.80,22.05,12.15,28.90,3.90,15.25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Spring 2020 pre-planting"
59,2,2020-06-08,40.25,40.05,19.70,6.83,21.95,12.25,29.00,3.92,15.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Early summer soil check"
60,2,2020-09-18,39.70,41.10,19.20,6.78,22.30,12.45,29.05,3.94,15.20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Late summer post-harvest"
61,2,2021-03-15,40.10,40.20,19.70,6.81,22.05,12.15,28.90,3.90,15.25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Spring 2021 pre-planting"
62,2,2021-06-10,39.90,40.50,19.60,6.82,21.95,12.25,29.00,3.92,15.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Early summer sampling"
63,2,2021-09-20,39.60,41.10,19.30,6.77,22.25,12.45,29.10,3.95,15.20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Late summer harvest period"
64,2,2022-03-10,40.00,40.40,19.60,6.79,22.00,12.30,28.85,3.91,15.15,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Spring 2022 soil sample"
65,2,2022-06-05,40.20,40.10,19.70,6.81,22.10,12.35,29.00,3.92,15.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Early summer check"
66,2,2022-09-15,39.80,41.30,18.90,6.76,22.40,12.50,29.10,3.95,15.22,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Post-harvest late summer"
67,2,2023-03-12,40.05,40.25,19.70,6.80,22.05,12.15,28.90,3.90,15.25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Spring 2023 pre-planting"
68,2,2023-06-08,40.25,40.05,19.70,6.83,21.95,12.25,29.00,3.92,15.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Early summer soil check"
69,2,2023-09-18,39.70,41.10,19.20,6.78,22.30,12.45,29.05,3.94,15.20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Late summer post-harvest"
70,2,2024-03-15,40.10,40.20,19.70,6.81,22.05,12.15,28.90,3.90,15.25,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Spring 2024 pre-planting"
71,2,2024-06-10,39.90,40.50,19.60,6.82,21.95,12.25,29.00,3.92,15.18,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Early summer sampling"
72,2,2024-10-15,39.60,41.10,19.30,6.77,22.25,12.45,29.10,3.95,15.20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,"Late summer harvest observation"
73,3,2016-03-15,11.02,44.98,44.00,6.50,28.25,18.30,120.15,3.25,25.10,0.015,0.005,0.050,0.010,0.008,0.001,0.005,0.012,"Spring 2016 soil sample 1"
74,3,2016-03-15,10.85,45.10,44.05,6.48,27.80,17.90,119.40,3.15,24.75,0.014,0.005,0.048,0.009,0.007,0.001,0.005,0.011,"Spring 2016 soil sample 2"
75,3,2016-03-15,10.95,44.95,44.10,6.52,28.50,18.50,121.00,3.30,25.25,0.016,0.006,0.052,0.011,0.009,0.001,0.006,0.013,"Spring 2016 soil sample 3"
76,3,2016-07-10,11.05,44.85,44.10,6.57,28.60,18.90,121.50,3.40,25.35,0.016,0.005,0.051,0.011,0.008,0.001,0.006,0.013,"Early summer soil check; crops emerging, nutrient levels stable."
77,3,2016-08-05,11.00,44.80,44.20,6.58,28.70,19.00,121.80,3.42,25.40,0.017,0.005,0.052,0.012,0.009,0.001,0.006,0.014,"Mid-summer soil sample; post-irrigation monitoring, slight increase in nitrogen."
78,3,2016-09-01,11.10,44.75,44.15,6.59,28.80,19.10,122.00,3.45,25.45,0.017,0.005,0.052,0.012,0.009,0.001,0.006,0.014,"Late summer soil assessment; pre-harvest crop monitoring, potassium trending slightly up."
